"","participants","SIC_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_SIC_code","alliance_nation","status","type","ownership_structure","deal_number"
"5828","T-MOBILE USA","4812","2012-05-08","","Pvd wireless telecommun svcs","United States","T-MOBILE USA INC/VESTA CORP-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2412479045
"5835","5LINX ENTERPRISE","4812","2012-05-09","","Pvd telecommunications svcs","United States","ENERGY EDGE TECHNOLOGIES CORP/5LINX ENTERPRISES INC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2431468045
"5837","SOFTBANK ","4812","2012-05-09","","Pvd wireless telecommun svcs","Japan","EBAY INC/SOFTBANK CORP-JOINT VENTURE","4812","Japan","Completed/Signed","Joint Venture",50,2634157045
"5838","GEMINI MOBILE TECHNOLOGY","4812","2012-05-09","","Pvd mobile messaging systems","United States","GEMINI MOBILE TECHNOLOGIES INC/CITRIX SYSTEMS INC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2431393045
"5850","PCCW GLOBAL","4812","2012-05-09","","Pvd telecommunications svcs","Hong Kong","PCCW GLOBAL/INVESTMENT & TECHNOLOGY GROUP CO-STRATEGIC ALLIANCE","4812","Supranational","Completed/Signed","Strategic Alliance",NA,2412863045
"5894","KONGZHONG ","4812","2012-05-14","","Pvd interactive ent svcs","China","KONGZHONG CORP/WARGAMING.NET LLP-STRATEGIC ALLIANCE","7372","China","Completed/Signed","Strategic Alliance",NA,2415498045
"6004","T-MOBILE USA","4812","2012-05-29","","Pvd wireless telecommun svcs","United States","T-MOBILE USA INC/PAYONE CORP-STRATEGIC ALLIANCE","7375","United States","Completed/Signed","Strategic Alliance",NA,2419917045
"6032","BROADCAST INTERNATIONAL","3663","2012-05-31","","Pvd satellite,video svcs","United States","BROADCAST INTERNATIONAL INC/BEENIUS-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,2420383045
"6060","COMITA DD","4812","2012-06-04","","Pvd telecommunications svcs","Slovenia","COMITA TRADE, SERVICES, REPRESENTATION & MEDIATION DD/ZAO ""GAZPROM~TELECOM""-JOINT VENTURE","4812","Slovenia","Completed/Signed","Joint Venture",50,2471738045
"6061","ZAO ""GAZPROM TELECOM""","4812","2012-06-04","","Pvd telecommunications svcs","Russian Fed","COMITA TRADE, SERVICES, REPRESENTATION & MEDIATION DD/ZAO ""GAZPROM~TELECOM""-JOINT VENTURE","4812","Slovenia","Completed/Signed","Joint Venture",50,2471738045
"6066","FRIENDI GROUP FZ","4812","2012-06-04","","Pvd telecommunications svcs","Utd Arab Em","FRIENDI GROUP FZ LLC/ VIRGIN MOBILE SOUTH AFRICA PTY LTD-JOINT VENTURE","4813","Utd Arab Em","Completed/Signed","Joint Venture",50,2557680045
"6077","ALASKA COMMUN SYS GRP","4812","2012-06-05","","Provides fiber broadband and managed information technology (IT) services","United States","GENERAL COMMUNICATION INC/ALASKA COMMUNICATIONS SYSTEMS GROUP INC-JOINT~VENTURE","4812","United States","Completed/Signed","Joint Venture",33.3,2424460045
"6111","NOKIA SIEMENS NETWORKS","4812","2012-06-07","","Pvd wireless telecommun svcs","Finland","MOBILE TELECOMMUNICATIONS CO SAUDI ARABIA/NOKIA SIEMENS NETWORKS~OY-STRATEGIC ALLIANCE","1731","Saudi Arabia","Completed/Signed","Strategic Alliance",NA,2423223045
"6121","RADIOSHACK ","5731","2012-06-07","","Radio, Television, and Other Electronics Stores","United States","CYBERMART/RADIOSHACK CORP-JOINT VENTURE","5311","China","Completed/Signed","Joint Venture",49,2422863045
"6281","TRUNKBOW INTL HLDGS","4812","2012-06-21","","Pvd wireless telecom svcs","China","TRUNKBOW INTERNATIONAL HOLDINGS LTD/SHANGHAI TELECOMMUNICATION ENGINEERING~CO LTD-STRATEGIC ALLIANCE","7379","China","Completed/Signed","Strategic Alliance",NA,2427714045
"6282","SHANGHAI TELECOMMUNICATION","4812","2012-06-21","","Pvd telecommunications svcs","China","TRUNKBOW INTERNATIONAL HOLDINGS LTD/SHANGHAI TELECOMMUNICATION ENGINEERING~CO LTD-STRATEGIC ALLIANCE","7379","China","Completed/Signed","Strategic Alliance",NA,2427714045
"6486","GENERAL DYNAMICS C4 SYSTEM","3663","2012-07-10","","Dvlp secure commun,info tech","United States","GENERAL DYNAMICS C4 SYSTEMS INC/EUROPEAN AERONAUTIC DEFENSE & SPACE CO~(EADS) NORTH AMERICA-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,2432495045
"6698","LENOVO GROUP","3571","2012-08-01","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/EMC CORP-STRATEGIC ALLIANCE","3572","China","Completed/Signed","Strategic Alliance",NA,2438760045
"6704","LENOVO GROUP","3571","2012-08-01","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/EMC CORP-JOINT VENTURE","3572","China","Completed/Signed","Joint Venture",50,2438764045
"6856","IBM ","3571","2012-08-16","","Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINES CORP/ECONOMIC DEVELOPMENT BOARD-JOINT~VENTURE","7372","Singapore","Completed/Signed","Joint Venture",50,2442824045
"6948","IBM ","3571","2012-08-31","","Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINE{IBM}/VODAFONE GROUPL PLC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2446572045
"7012","ADVANTECH ","3571","2012-09-07","","Manufacture,wholesale industrial computers","Taiwan","ADVANTECH CO LTD/EINFOCHIPS LTD/TEXAS INSTRUMENTS INC-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2448529045
"7037","DELL","3571","2012-09-10","","Manufacture,wholesale computer","United States","DELL INC/RAMCO SYSTEMS LTD-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2448909045
"7092","SIEMENS","3663","2012-09-13","","Manufactures and wholesales telecommunications equipment","Germany","WASION GROUP HOLDINGS LTD/SIEMENS AG-JOINT VENTURE","7372","China","Completed/Signed","Joint Venture",50,2450951045
"7096","FASTWEB","4812","2012-09-14","","Pvd telecommunications service","Italy","TELECOM ITALIA SPA/FASTWEB SPA-STRATEGIC ALLIANCE","4812","Italy","Completed/Signed","Strategic Alliance",NA,2451063045
"7108","INROOM BROADCASTING NETWORK","3571","2012-09-17","","Pvd digital content svcs","United States","CHINA COMSERVICE JIANGSU CORP/INROOM BROADCASTING NETWORK LLC-STRATEGIC~ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2454551045
"7127","ETIHAD ETISALATSJSC","4812","2012-09-19","","Provide wireless telecommunications services","Saudi Arabia","ETIHAD ETISALAT CO/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC~ALLIANCE","7382","Saudi Arabia","Completed/Signed","Strategic Alliance",NA,2451959045
"7128","IBM ","3571","2012-09-19","","Manufacture computer products","United States","ETIHAD ETISALAT CO/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC~ALLIANCE","7382","Saudi Arabia","Completed/Signed","Strategic Alliance",NA,2451959045
"7247","APPLIED SATELLITE TECH","3663","2012-10-01","","Mnfr,whl satellite commun sys","United Kingdom","GLOBALSTAR EUROPE SATELLITE SERVICES LTD/APPLIED SATELLITE TECHNOLOGY~LTD-STRATEGIC ALLIANCE","4899","United Kingdom","Completed/Signed","Strategic Alliance",NA,2457606045
"7347","SAMSUNG ELECTRONIC ","3663","2012-10-10","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","SAMSUNG ELECTRONICS CO LTD/SPOTIFY LTD-STRATEGIC ALLIANCE","7375","Supranational","Completed/Signed","Strategic Alliance",NA,2458430045
"7349","UCI2I","4812","2012-10-10","","Pvd video mgt solutions","United Kingdom","UCI2I/COMSTOR-STRATEGIC ALLIANCE","4813","Supranational","Completed/Signed","Strategic Alliance",NA,2458493045
"7623","FIVESTAR BROADBAND SERVICE","4812","2012-11-07","","Pvd wireless telecom svcs","India","FIVESTAR BROADBAND SERVICES/NIVYAH INFRASTRUCTURE&TELECOM SERVICES~LTD-JOINT VENTURE","4812","India","Completed/Signed","Joint Venture",50,2466647045
"7687","VERIZON WIRELESS","4812","2012-11-14","","Pvd wireless telecommun svcs","United States","COMCAST CORP/VERIZON WIRELESS INC-STRATEGIC ALLIANCE","4812","United States","Completed/Signed","Strategic Alliance",NA,2468086045
"7735","PEG BANDWIDTH","4812","2012-11-19","","Pvd bandwidth solutions svcs","United States","VERAX SYSTEMS CORP/PEG BANDWIDTH LLC-STRATEGIC ALLIANCE","4899","United States","Completed/Signed","Strategic Alliance",NA,2469260045
"7795","NORDIC TELECOM","4812","2012-11-26","","Pvd telecommunications svcs","Finland","NORDIC TELECOM LTD/CISCO SYSTEMS FINLAND OY-STRATEGIC ALLIANCE","7372","Finland","Completed/Signed","Strategic Alliance",NA,2471251045
"7848","HITACHI","3571","2012-11-29","","Mnfr,whl electronic equipment","Japan","MITSUBISHI HEAVY INDUSTRIES LTD/HITACHI LTD-JOINT VENTURE","4911","Japan","Completed/Signed","Joint Venture",35,2472524045
"7881","PIXTRONIX","3663","2012-12-04","","Mnfr,whl display technologies","United States","SHARP CORP/PIXTRONIX INC-STRATEGIC ALLIANCE","3663","Supranational","Completed/Signed","Strategic Alliance",NA,2474280045
"8022","NOKIA OYJ","3663","2012-12-17","","Mnfr network infrastructure products","Finland","NOKIA OYJ/VVIDIA COMMUNICATIONS PVT LTD-STRATEGIC ALLIANCE","7375","Supranational","Completed/Signed","Strategic Alliance",NA,2478582045
"8079","NOKIA OYJ","3663","2012-12-21","","Mnfr network infrastructure products","Finland","BEIJING JINGDONG CENTURY COMMERCE CO LTD/NOKIA OYJ-STRATEGIC ALLIANCE","7375","Supranational","Completed/Signed","Strategic Alliance",NA,2481469045
"8170","MTN GROUP","4812","2013-01-01","","Wireless Telecommunications Carriers (Except Satellite)","South Africa","ROCKET INTERNET GMBH/MTN GROUP LTD-JOINT VENTURE","7375","Utd Arab Em","Completed/Signed","Joint Venture",50,2928407045
"8199","INTERDIGITAL","3663","2013-01-03","","Manufacture wireless radio systems","United States","INTERDIGITAL INC/SONY CORP OF AMERICA-JOINT VENTURE","8731","United States","Completed/Signed","Joint Venture",50,2483791045
"8219","FITBIT","3571","2013-01-05","","Electronic Computer Manufacturing","United States","HUMANA INC/FITBIT INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3343035045
"8269","MOTION COMPUTING","3571","2013-01-08","","Mnfr computers","United States","AGILYSYS INC/MOTION COMPUTING INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2485113045
"8317","TELENOR ASA","4812","2013-01-15","","Provide mobile communication services","Norway","TELENOR ASA/MICROENSURE HOLDINGS LTD-JOINT VENTURE","6411","China","Completed/Signed","Joint Venture",50,2487295045
"8337","BATELCO","4812","2013-01-17","","Pvd telecommunications services","Bahrain","BAHRAIN TELECOMMUNICATIONS CO BSC {BATELCO}/ UNISONO BRAND~CONSULTANTS-STRATEGIC ALLIANCE","7312","Bahrain","Completed/Signed","Strategic Alliance",NA,2546377045
"8468","RADIOSHACK GLOBAL SOURCING","5731","2013-01-31","","Retail Electronic Products","Hong Kong","FIRST HONEST ENTERPRISES/RADIOSHACK GLOBAL SOURCING LTD- JOINT VENTURE","3663","Hong Kong","Completed/Signed","Joint Venture",49,2492633045
"8473","CHINA TECHFAITH WIRELESS","3663","2013-01-31","","Mnfr mobile phones","China","CHINA TECHFAITH WIRELESS COMMUNICATION TECHNOLOGY LTD/PRIMESENSE~LTD-STRATEGIC ALLIANCE","7319","China","Completed/Signed","Strategic Alliance",NA,2492268045
"8502","NEXT COMMUNICATION","4812","2013-02-02","","Telecommunications svcs","United States","NEXT COMMUNICATIONS INC/ANGEL TELECOM/MARCATEL TELECOMMUNICATIONS-JOINT~VENTURE","4812","United States","Completed/Signed","Joint Venture",42.5,2493137045
"8504","MARCATEL TELECOMMUNICATION","4812","2013-02-02","","Pvd telecommunications svcs","United States","NEXT COMMUNICATIONS INC/ANGEL TELECOM/MARCATEL TELECOMMUNICATIONS-JOINT~VENTURE","4812","United States","Completed/Signed","Joint Venture",15,2493137045
"8631","SAMSUNG ELECTRONIC ","3663","2013-02-19","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","INTERNETQ PLC/SAMSUNG ELECTRONICS CO LTD-STRATEGIC ALLIANCE","4812","Supranational","Completed/Signed","Strategic Alliance",NA,2497622045
"8638","TELEFONICA DIGITAL","4812","2013-02-20","","Provide telecommunications services","United Kingdom","TELEFONICA DIGITAL/PINSIGHT MEDIA+-STRATEGIC ALLIANCE","7319","Supranational","Completed/Signed","Strategic Alliance",NA,2498020045
"8713","THALES ALENIA SPACE SAS","3663","2013-02-28","","Manufactures satellite systems","France","THALES ALENIA SPACE SAS/JSC ""ACADEMICIAN MF RESHETNEV ""INFORMATION~SATELLITE SYSTEMS""-JOINT VENTURE","3679","Russian Fed","Completed/Signed","Joint Venture",50,2500578045
"8738","SINGAPORE TELECOMMUNICATION","4812","2013-03-04","","Provide telecommunications services","Singapore","SINGAPORE TELECOMMINUCATIONS LTD/AMDOCS LTD-JOINT VENTURE","7371","Israel","Completed/Signed","Joint Venture",NA,2503707045
"8794","VU2VU IRELAND","4812","2013-03-06","","Pvd telecommunications svcs","Ireland-Rep","NEOWAVE UK/VIDENDA DISTRIBUTION/VU2VU NETWORKS-JOINT VENTURE","4812","United Kingdom","Completed/Signed","Joint Venture",33.3,2502752045
"8831","SIEMENS","3663","2013-03-11","","Manufactures and wholesales telecommunications equipment","Germany","SCANIA AB/SIEMENS AG-STRATEGIC ALLIANCE","3537","Supranational","Completed/Signed","Strategic Alliance",NA,2504011045
"8848","BRIGHTSTAR ","3663","2013-03-11","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","United States","BRIGHTSTAR CORP/TRIKOMSEL OKE TBK PT-JOINT VENTURE","5065","Singapore","Completed/Signed","Joint Venture",50,2503527045
"8865","IBM ","3571","2013-03-12","","Manufacture computer products","United States","GRUPO FINANCIERO BANORTE SAB DE CV/INTERNATIONAL BUSINESS MACHINES CORP~{IBM}-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2504378045
"8871","IBM ","3571","2013-03-12","","Manufacture computer products","United States","COMPUWARE CORP/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC~ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2504092045
"8967","TELIASONERA","4812","2013-03-20","","Provide wireless telecommun svcs","Sweden","PREMIERE GLOBAL SERVICES INC/TELIASONERA AB-STRATEGIC ALLIANCE","4899","Supranational","Completed/Signed","Strategic Alliance",NA,2506355045
"8975","POLKOMTEL SP ZOO","4812","2013-03-21","","Provide wireless telecommunications services","Poland","VODAFONE GROUP PLC/POLKOMTEL SP ZOO-STRATEGIC ALLIANCE","4812","Poland","Completed/Signed","Strategic Alliance",NA,2506850045
"9041","SK TELECOM ","4812","2013-03-28","","Pvd cellular telecommun svcs","South Korea","GLOBE TELECOM INC/SK TELECOM CO LTD-STRATEGIC ALLIANCE","4812","Philippines","Completed/Signed","Strategic Alliance",NA,2514194045
"9519","MEGAFON","4812","2013-05-27","","Provide wireless telecommunications services","Russian Fed","TELEFONICA SA/OAO ""MEGAFON""-STRATEGIC ALLIANCE","4812","Supranational","Completed/Signed","Strategic Alliance",NA,2525257045
"9587","HUTCHISON 3G UK","5731","2013-06-03","","Pvd broadband service","United Kingdom","HUAWEI TECHNOLOGIES CO LTD/HUTCHISON 3G UK LTD-STRATEGIC ALLIANCE","3661","United Kingdom","Completed/Signed","Strategic Alliance",NA,2528140045
"9594","DELL","3571","2013-06-04","","Manufacture,wholesale computer","United States","DELL INC/ORACLE CORP-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2527721045
"9765","MTS","4812","2013-06-20","","Pvd wireless telecommun svcs","Russian Fed","OAO ""MOBIL'NYE TELESISTEMY"" {MTS}/TELEFONAKTIEBOLAGET LM ERICSSON-STRATEGIC~ALLIANCE","4812","Russian Fed","Completed/Signed","Strategic Alliance",NA,2533396045
"9766","TELEFONAKTIEBOLAGET LM","4812","2013-06-20","","Provides telecommunications services","Sweden","OAO ""MOBIL'NYE TELESISTEMY"" {MTS}/TELEFONAKTIEBOLAGET LM ERICSSON-STRATEGIC~ALLIANCE","4812","Russian Fed","Completed/Signed","Strategic Alliance",NA,2533396045
"9829","DNA","4812","2013-06-26","","Provide telecommunication svcs","Finland","DNA/3V TRANSACTION SERVICES-STRATEGIC ALLIANCE","7389","Finland","Completed/Signed","Strategic Alliance",NA,2547843045
"9859","ELEKTROBIT OYJ","4812","2013-06-27","","Provide wireless telecom svcs","Finland","ELEKTROBIT OYJ/DAIMLER AG-STRATEGIC ALLIANCE","7372","Germany","Completed/Signed","Strategic Alliance",NA,2548212045
"9864","MITEL NETWORKS ","3663","2013-06-27","","Develops IP-based communications software","Canada","WINDSTREAM CORP/MITEL NETWORKS CORP-STRATEGIC ALLIANCE","3663","Supranational","Completed/Signed","Strategic Alliance",NA,2586768045
"9905","TELEFONICA DIGITAL","4812","2013-07-01","","Provide telecommunications services","United Kingdom","MONITISE PLC/TELEFONICA DIGITAL- STRATEGIC ALLIANCE","4812","United Kingdom","Completed/Signed","Strategic Alliance",NA,2535453045
"9967","ETIHAD ETISALATSJSC","4812","2013-07-02","","Provide wireless telecommunications services","Saudi Arabia","ETIHAD ETISALAT CO/ EMAAR THE ECONOMIC CITY-STRATEGIC ALLIANCE","4812","Saudi Arabia","Completed/Signed","Strategic Alliance",NA,2535456045
"10004","TELUS ","4812","2013-07-04","","Provides telecommunications products and services","Canada","ALLIED PROPERTIES REAL ESTATE INVESTMENT TRUST/TELUS CORP/WESTBANK PROJECTS~CORP-JOINT VENTURE","6552","Canada","Completed/Signed","Joint Venture",33.3,2536273045
"10008","MTS","4812","2013-07-04","","Pvd wireless telecommun svcs","Russian Fed","OAO ""MOBIL'NYE TELESISTEMY""/NOKIA SIEMENS NETWORKS OY-STRATEGIC ALLIANCE","4812","Russian Fed","Completed/Signed","Strategic Alliance",NA,2589995045
"10009","NOKIA SIEMENS NETWORKS","4812","2013-07-04","","Pvd wireless telecommun svcs","Finland","OAO ""MOBIL'NYE TELESISTEMY""/NOKIA SIEMENS NETWORKS OY-STRATEGIC ALLIANCE","4812","Russian Fed","Completed/Signed","Strategic Alliance",NA,2589995045
"10221","LENOVO GROUP","3571","2013-07-17","","Mnfr,wholesale computer prod","Hong Kong","EXTREME NETWORKS INC/LENOVO GROUP-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2585411045
"10231","CRAY","3571","2013-07-17","","Manufactures and wholesales computer systems and supercomputers","United States","ROGUE WAVE SOFTWARE INC/CRAY INC-STRATEGIC ALLIANCE","5045","Supranational","Completed/Signed","Strategic Alliance",NA,2590373045
"10238","GREEN WIRE ENTERPRISE","4812","2013-07-18","","Pvd telecommunications svcs","United States","GREEN WIRE ENTERPRISES INC/CX INC-JOINT VENTURE","3663","Supranational","Completed/Signed","Joint Venture",50,2548822045
"10240","SOFTBANK ","4812","2013-07-18","","Pvd wireless telecommun svcs","Japan","SOFTBANK CORP/BLOOM ENERGY CORP-JOINT VENTURE","3691","Japan","Completed/Signed","Joint Venture",50,2548204045
"10244","HAYAT COMMUNICATIONKSCP","4812","2013-07-18","","Provide telecommunications services","Kuwait","HAYAT COMMUNICATIONS CO KSCC/ZAIN GROUP-STRATEGIC ALLIANCE","7622","Kuwait","Completed/Signed","Strategic Alliance",NA,2548495045
"10245","MOBILE TELECOMMUNKSCP","4812","2013-07-18","","Provide wireless telecommunications services","Kuwait","HAYAT COMMUNICATIONS CO KSCC/ZAIN GROUP-STRATEGIC ALLIANCE","7622","Kuwait","Completed/Signed","Strategic Alliance",NA,2548495045
"10258","GLOBECOMM SYSTEM","3663","2013-07-19","","Pvd satellite commun svcs","United States","GLOBECOMM SYSTEMS INC/PLAYNETWORK INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,2550595045
"10276","HEWLETT PACKARD ","3571","2013-07-22","","Mnfr,whl computer equipment","United States","HEWLETT-PACKARD CO/LIQVID ELEARNING SERVICES PVT LTD-STRATEGIC ALLIANCE","7375","India","Completed/Signed","Strategic Alliance",NA,2589974045
"10283","IBM ","3571","2013-07-22","","Manufacture computer products","United States","UNICREDIT SPA/NTERNATIONAL BUSINESS MACHINES{IBM}-JOINT VENTURE","7372","Italy","Completed/Signed","Joint Venture",50,2550054045
"10303","SPRINT COMMUNICATION","4812","2013-07-24","","Provide telecommunications svcs","United States","SPRINT COMMUNICATIONS INC/TRANSIT WIRELESS LLC-STRATEGIC ALLIANCE","4812","United States","Completed/Signed","Strategic Alliance",NA,2590459045
"10304","TRANSIT WIRELESS","4812","2013-07-24","","Wireless Telecommunications Carriers (Except Satellite)","United States","SPRINT COMMUNICATIONS INC/TRANSIT WIRELESS LLC-STRATEGIC ALLIANCE","4812","United States","Completed/Signed","Strategic Alliance",NA,2590459045
"10441","ORANGE ROMANIA","4812","2013-07-31","","Wireless Telecommunications Carriers (Except Satellite)","Romania","ORANGE ROMANIA SA/VODAFONE ROMANIA SA-STRATEGIC ALLIANCE","4813","Romania","Completed/Signed","Strategic Alliance",NA,2576789045
"10466","SINGAPORE TELECOMMUNICATION","4812","2013-08-01","","Provide telecommunications services","Singapore","VISA INC/SINGAPORE TELECOMMUNICATIONS LTD-STRATEGIC ALLIANCE","6099","Singapore~Australia","Completed/Signed","Strategic Alliance",NA,2585479045
"10488","IBM ","3571","2013-08-02","","Manufacture computer products","United States","BANK OF THE PHILIPPINE ISLANDS{BPI}/INTERNATIONAL BUSINESS MACHINES~CORP{IBM}-STRATEGIC ALLIANCE","7371","Philippines","Completed/Signed","Strategic Alliance",NA,2552885045
"10493","TELEFONICA MOVILES","4812","2013-08-02","","Provide wireless telecom svcs","Spain","TELEFONICA MOVILES SA/XFERA MOVILES SA-STRATEGIC ALLIANCE","4812","Spain","Completed/Signed","Strategic Alliance",NA,2552834045
"10494","XFERA MOVILES","4812","2013-08-02","","Pvd mobile telecommun svcs","Spain","TELEFONICA MOVILES SA/XFERA MOVILES SA-STRATEGIC ALLIANCE","4812","Spain","Completed/Signed","Strategic Alliance",NA,2552834045
"10838","DEDICATED COMPUTING","3571","2013-08-29","","Manufacture computers","United States","LIQUIDCOOL SOLUTIONS INC/ DEDICATED COMPUTING LLC-STRATEGIC ALLIANCE","3679","Supranational","Completed/Signed","Strategic Alliance",NA,2564095045
"10915","IBM ","3571","2013-09-04","","Manufacture computer products","United States","MONITISE PLC/INTERNATIONAL BUSINESS MACHINES CORP{IBM}-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2564337045
"10967","IBM ","3571","2013-09-10","","Manufacture computer products","United States","INTERNATIONAL BUSINESS MACHINES CORP{IBM}/CONTINENTAL AG-STRATEGIC~ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2565111045
"10969","T-MOBILE US","4812","2013-09-10","","Wireless Telecommunications Carriers (Except Satellite)","United States","NTT DOCOMO USA INC/T-MOBILE US INC-STRATEGIC ALLIANCE","4813","United States","Completed/Signed","Strategic Alliance",NA,2565497045
"10970","NTT DOCOMO USA","4812","2013-09-10","","Pvd wireless telecommun svcs","United States","NTT DOCOMO USA INC/T-MOBILE US INC-STRATEGIC ALLIANCE","4813","United States","Completed/Signed","Strategic Alliance",NA,2565497045
"11104","BATELCO","4812","2013-09-17","","Pvd telecommunications services","Bahrain","BAHRAIN TELECOMMUNICATIONS CO BSC (BATELCO)/HUAWEI TECHNOLOGIES CO~LTD-STRATEGIC ALLIANCE","7373","Bahrain","Completed/Signed","Strategic Alliance",NA,2570710045
"11198","FON WIRELESS","4812","2013-09-24","","Pvd telecommunications svcs","Spain","AT&T INC/FON WIRELESS LTD-STRATEGIC ALLIANCE","4812","Supranational","Completed/Signed","Strategic Alliance",NA,2572578045
"11220","AIRCEL","4812","2013-09-25","","Provide telecommunications services","India","AIRCEL LTD/MICROMAX INFORMATICS LTD-STRATEGIC ALLIANCE","4899","India","Completed/Signed","Strategic Alliance",NA,2570007045
"11293","TELENOR ASA","4812","2013-09-30","","Provide mobile communication services","Norway","TELENOR SA/SCHIBSTED MULTIMEDIA AS -JOINT VENTURE","7375","Brazil","Completed/Signed","Joint Venture",50,2571768045
"11299","TELENOR ASA","4812","2013-09-30","","Provide mobile communication services","Norway","TELENOR ASA/SCHIBSTED ASA/SINGAPORE PRESS HOLDINGS LTD-JOINT VENTURE","7375","Singapore","Completed/Signed","Joint Venture",33.3,2571796045
"11334","BATELCO","4812","2013-10-09","","Pvd telecommunications services","Bahrain","BAHRAIN TELECOMMUNICATIONS CO BSC/TATA COMMUNICATIONS LTD-STRATEGIC~ALLIANCE","4813","Bahrain","Completed/Signed","Strategic Alliance",NA,2575323045
"11351","SIEMENS","3663","2013-10-15","","Manufactures and wholesales telecommunications equipment","Germany","ACCENTURE CORP/SIEMENS AG-JOINT VENTURE","499A","Germany","Completed/Signed","Joint Venture",NA,2582819045
"11420","PIONEER CONSULTING HOLDING","4812","2013-10-22","","Wired Telecommunications Carriers","United States","PELAGIAN LTD/PIONEER CONSULTING HOLDINGS LLC-JOINT VENTURE","8748","United States","Completed/Signed","Joint Venture",50,2623964045
"11487","IBM ","3571","2013-10-29","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/READSOFT AB-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,2971427045
"11545","VODAFONE EGYPT TELECOMMUN SAE","4812","2013-10-31","","Pvd wireless telecommun svcs","Egypt","VODAFONE EGYPT TELECOMMUNICATIONS SAE/SEED GROUP-JOINT VENTURE","4812","Utd Arab Em","Completed/Signed","Strategic Alliance",NA,2580465045
"11610","KIPO","4812","2013-11-06","","Wired Telecommunications Carriers","Guatemala","KIPO INC/TIGO GUATEMALA-STRATEGIC ALLIANCE","4813","Guatemala","Completed/Signed","Strategic Alliance",NA,2619810045
"11611","TIGO GUATEMALA","4812","2013-11-06","","Wireless Telecommunications Carriers (Except Satellite)","Guatemala","KIPO INC/TIGO GUATEMALA-STRATEGIC ALLIANCE","4813","Guatemala","Completed/Signed","Strategic Alliance",NA,2619810045
"11671","TURK TELEKOMUNIKASYON","4812","2013-11-11","","Provide telecommunications services","Turkey","AKA MAI TECHNOLOGIES INC/TURK TELEKOMUNIKASYON AS-STRATEGIC ALLIANCE","4812","Turkey","Completed/Signed","Strategic Alliance",NA,2583213045
"11740","TRACFONE WIRELESS","4812","2013-11-14","","Provides wireless telecommunications services","United States","TRACFONE WIRELESS INC/VOXIVA/MOLINA HEALTHCARE OF UTACH-STRATEGIC ALLIANCE","3669","United States","Completed/Signed","Strategic Alliance",NA,2622080045
"11741","VOXIVA","3663","2013-11-14","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","United States","TRACFONE WIRELESS INC/VOXIVA/MOLINA HEALTHCARE OF UTACH-STRATEGIC ALLIANCE","3669","United States","Completed/Signed","Strategic Alliance",NA,2622080045
"11795","VIRGIN MOBILE USA","4812","2013-11-18","","Pvd wireless commun svcs","United States","VIRGIN MOBILE USA INC/HTC CORP -STRATEGIC ALLIANCE","3669","United States","Completed/Signed","Strategic Alliance",NA,2623002045
